ID;Operador;Pop;TX_C;TX_M;Melhor;Pior;Média;Mediana;Desvio Padrão;Vetor da Rota (Melhor)
C1;OX;50;0.8;0.01;41229.0;54080.0;47152.9;47157.5;3759.6596416501097;[16, 36, 18, 26, 5, 6, 17, 32, 11, 45, 43, 30, 37, 14, 39, 8, 0, 7, 15, 21, 2, 40, 1, 28, 24, 33, 4, 47, 41, 9, 25, 3, 34, 44, 23, 31, 38, 22, 10, 13, 12, 20, 46, 19, 35, 27, 29, 42]
C2;PMX;50;0.8;0.01;42167.0;63413.0;53520.9;52575.5;5519.817082209575;[2, 33, 40, 28, 1, 41, 3, 25, 44, 34, 9, 23, 4, 47, 31, 38, 24, 20, 19, 45, 27, 29, 26, 16, 42, 18, 36, 5, 35, 39, 21, 15, 0, 7, 8, 37, 30, 43, 6, 17, 14, 32, 10, 22, 13, 12, 46, 11]
C3;OX;50;0.8;0.05;68216.0;82075.0;75369.4;75784.5;4090.1708547507683;[13, 33, 0, 8, 19, 42, 45, 7, 37, 39, 2, 43, 6, 29, 17, 26, 18, 5, 36, 27, 11, 35, 30, 14, 32, 46, 16, 24, 12, 21, 15, 40, 22, 38, 9, 34, 44, 3, 25, 1, 4, 23, 47, 41, 28, 10, 20, 31]
C4;PMX;50;0.8;0.05;62385.0;81278.0;69927.8;69462.0;4381.888256760645;[7, 40, 22, 33, 15, 12, 24, 13, 20, 4, 23, 10, 2, 46, 19, 42, 29, 16, 26, 6, 45, 39, 14, 43, 30, 17, 8, 21, 0, 28, 1, 25, 3, 44, 34, 9, 41, 47, 38, 31, 32, 11, 5, 18, 27, 36, 35, 37]
C5;OX;50;0.9;0.01;40606.0;51888.0;45857.2;45507.5;3504.436115013445;[31, 20, 46, 19, 35, 5, 36, 18, 26, 16, 42, 29, 27, 17, 6, 43, 30, 45, 37, 7, 8, 0, 22, 10, 32, 2, 33, 24, 13, 12, 11, 14, 39, 21, 15, 40, 28, 1, 3, 25, 23, 44, 34, 9, 41, 4, 47, 38]
C6;PMX;50;0.9;0.01;49965.0;62671.0;56000.9;55321.5;3819.0673000230386;[46, 12, 13, 33, 40, 15, 21, 39, 29, 5, 35, 45, 8, 37, 43, 17, 6, 30, 0, 7, 2, 24, 47, 4, 28, 1, 3, 25, 41, 31, 38, 9, 34, 44, 23, 20, 19, 42, 16, 26, 18, 36, 27, 14, 22, 10, 11, 32]
C7;OX;50;0.9;0.05;70038.0;83122.0;77883.1;79338.5;3997.265669376874;[40, 15, 7, 45, 11, 14, 24, 47, 13, 0, 37, 35, 26, 5, 36, 27, 18, 16, 19, 46, 32, 4, 20, 12, 43, 10, 17, 6, 42, 29, 8, 30, 2, 21, 39, 28, 38, 31, 23, 44, 34, 41, 1, 3, 25, 9, 22, 33]
C8;PMX;50;0.9;0.05;60668.0;83455.0;70265.25;70121.5;5608.768012533684;[25, 1, 40, 28, 47, 41, 4, 13, 24, 45, 17, 0, 2, 39, 19, 46, 12, 31, 38, 27, 29, 5, 42, 35, 32, 43, 6, 16, 36, 18, 26, 30, 37, 14, 11, 21, 15, 7, 8, 22, 20, 10, 33, 23, 44, 34, 3, 9]
C9;OX;100;0.8;0.01;37706.0;49756.0;44332.2;43751.5;3061.6138950078703;[47, 4, 1, 28, 41, 9, 3, 25, 34, 44, 23, 31, 38, 20, 10, 22, 2, 33, 40, 15, 21, 0, 7, 8, 37, 39, 14, 11, 19, 32, 45, 30, 43, 17, 35, 6, 27, 29, 5, 36, 18, 26, 16, 42, 46, 12, 24, 13]
C10;PMX;100;0.8;0.01;40963.0;55309.0;49058.15;49141.5;4204.150947199934;[28, 4, 47, 41, 23, 31, 38, 24, 12, 13, 2, 33, 40, 15, 21, 39, 14, 0, 7, 8, 37, 30, 5, 36, 18, 26, 16, 42, 29, 27, 6, 35, 17, 43, 45, 11, 22, 10, 19, 32, 46, 20, 44, 34, 9, 25, 3, 1]
C11;OX;100;0.8;0.05;64624.0;84128.0;75961.8;77052.5;5351.519317962547;[20, 46, 31, 40, 15, 22, 8, 19, 11, 45, 32, 39, 37, 0, 21, 42, 16, 5, 43, 17, 36, 6, 26, 29, 27, 35, 18, 30, 2, 14, 24, 7, 33, 4, 23, 44, 34, 3, 25, 9, 41, 47, 1, 28, 38, 13, 12, 10]
C12;PMX;100;0.8;0.05;63145.0;77449.0;71180.65;72649.0;4481.166251804969;[44, 47, 4, 28, 20, 11, 24, 13, 45, 27, 5, 14, 22, 38, 32, 39, 7, 0, 2, 21, 30, 17, 6, 35, 37, 8, 43, 18, 42, 26, 16, 36, 29, 19, 31, 10, 46, 12, 40, 15, 33, 1, 25, 3, 9, 41, 23, 34]
C13;OX;100;0.9;0.01;39944.0;54587.0;44845.0;43917.5;4035.2643296971655;[28, 4, 47, 41, 9, 25, 3, 34, 44, 23, 31, 38, 12, 22, 2, 15, 21, 39, 14, 32, 30, 37, 7, 0, 8, 45, 16, 42, 18, 5, 36, 26, 29, 43, 17, 6, 27, 35, 19, 11, 10, 46, 20, 24, 13, 33, 40, 1]
C14;PMX;100;0.9;0.01;42662.0;56293.0;48692.25;48188.0;3876.6339152875776;[10, 12, 13, 24, 4, 47, 23, 31, 38, 20, 46, 19, 42, 29, 35, 6, 27, 36, 26, 16, 18, 5, 17, 43, 30, 8, 37, 7, 0, 15, 40, 28, 41, 34, 44, 9, 3, 25, 1, 33, 22, 2, 21, 39, 14, 45, 32, 11]
C15;OX;100;0.9;0.05;71559.0;86174.0;79197.3;79664.0;4566.551827087226;[44, 34, 25, 3, 23, 20, 38, 13, 19, 10, 14, 46, 43, 32, 42, 27, 39, 40, 15, 21, 22, 33, 37, 29, 16, 26, 11, 35, 36, 5, 17, 6, 18, 8, 0, 45, 30, 7, 12, 24, 31, 41, 1, 47, 2, 4, 28, 9]
C16;PMX;100;0.9;0.05;63034.0;84833.0;73844.5;73662.5;5073.2029589952235;[44, 23, 13, 12, 42, 16, 26, 5, 29, 7, 0, 22, 2, 24, 33, 28, 31, 38, 15, 21, 37, 30, 27, 17, 32, 14, 19, 11, 8, 39, 18, 36, 6, 35, 43, 45, 10, 20, 46, 40, 4, 25, 3, 41, 47, 1, 9, 34]
