ID;Operador;Pop;TX_C;TX_M;Melhor;Pior;Média;Mediana;Desvio Padrão;Vetor da Rota (Melhor)
C1;OX;50;0.8;0.01;955.0;1170.0;1072.6;1079.5;53.76498567107152;[2, 4, 5, 3, 1, 0, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 7, 6, 8, 9, 10, 11, 12, 14, 13]
C2;PMX;50;0.8;0.01;982.0;1306.0;1140.45;1137.0;71.90013176182934;[7, 8, 9, 10, 12, 11, 14, 13, 15, 18, 19, 16, 17, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 5, 4, 6]
C3;OX;50;0.8;0.05;1102.0;1280.0;1179.3;1179.0;54.1334608070403;[20, 21, 25, 22, 23, 24, 17, 19, 18, 15, 8, 7, 6, 5, 3, 4, 13, 0, 1, 2, 14, 12, 11, 10, 9, 16]
C4;PMX;50;0.8;0.05;1004.0;1265.0;1129.1;1130.0;79.66700433019537;[1, 3, 5, 4, 6, 7, 13, 11, 12, 10, 9, 8, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 14, 2]
C5;OX;50;0.9;0.01;953.0;1141.0;1036.05;1025.5;63.08179735783324;[14, 0, 1, 2, 3, 5, 4, 6, 7, 8, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 11, 12, 10, 9, 13]
C6;PMX;50;0.9;0.01;1013.0;1272.0;1124.95;1123.0;62.00549636078537;[16, 17, 19, 18, 15, 9, 8, 7, 6, 4, 5, 3, 1, 0, 2, 13, 14, 11, 12, 10, 20, 21, 24, 23, 22, 25]
C7;OX;50;0.9;0.05;1095.0;1316.0;1212.2;1217.5;63.24022703777615;[13, 10, 14, 0, 1, 2, 7, 6, 5, 3, 4, 8, 9, 11, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 12]
C8;PMX;50;0.9;0.05;993.0;1275.0;1132.9;1128.5;84.75220847922054;[13, 10, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 11, 12, 14, 2, 1, 3, 5, 4, 6, 7, 8, 9]
C9;OX;100;0.8;0.01;974.0;1155.0;1042.0;1032.5;50.34617008378356;[5, 3, 2, 1, 0, 14, 13, 9, 8, 10, 12, 11, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 7, 6, 4]
C10;PMX;100;0.8;0.01;992.0;1195.0;1077.05;1074.5;57.09592574643225;[8, 2, 1, 3, 5, 4, 6, 7, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 11, 10, 12, 14, 13, 9]
C11;OX;100;0.8;0.05;1086.0;1358.0;1209.45;1183.5;69.94168623706616;[16, 10, 13, 14, 8, 7, 6, 4, 5, 3, 2, 1, 0, 11, 12, 9, 15, 19, 18, 17, 25, 21, 22, 23, 24, 20]
C12;PMX;100;0.8;0.05;995.0;1214.0;1112.25;1126.5;65.12972884134686;[8, 9, 13, 2, 1, 3, 5, 4, 6, 7, 10, 11, 12, 14, 0, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15]
C13;OX;100;0.9;0.01;937.0;1083.0;1001.7;995.0;49.3794118615185;[14, 13, 9, 8, 7, 6, 4, 5, 3, 2, 1, 0, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 10, 12, 11]
C14;PMX;100;0.9;0.01;991.0;1227.0;1104.9;1113.0;63.069635700298925;[6, 4, 5, 3, 2, 1, 0, 14, 13, 9, 10, 12, 11, 16, 20, 24, 23, 22, 21, 25, 17, 19, 18, 15, 8, 7]
C15;OX;100;0.9;0.05;1138.0;1353.0;1227.1;1222.0;60.74614997546845;[6, 5, 2, 14, 10, 12, 11, 15, 18, 19, 16, 17, 25, 22, 23, 24, 21, 20, 0, 1, 3, 4, 13, 9, 8, 7]
C16;PMX;100;0.9;0.05;959.0;1246.0;1056.7;1027.0;75.69613770304198;[8, 9, 12, 11, 14, 13, 10, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 5, 4, 6, 7]
