ID;Operador;Pop;TX_C;TX_M;Melhor;Pior;Média;Mediana;Desvio Padrão;Vetor da Rota (Melhor)
C1;OX;50;0.8;0.01;955.0;1157.0;1046.5;1051.5;54.3366697931565;[6, 7, 8, 10, 11, 12, 14, 13, 9, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 5, 4]
C2;PMX;50;0.8;0.01;989.0;1304.0;1133.45;1138.0;86.93765158524755;[24, 11, 13, 14, 0, 1, 2, 3, 5, 4, 6, 7, 8, 9, 12, 10, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23]
C3;OX;50;0.8;0.05;982.0;1365.0;1190.2;1197.0;101.90687183068563;[15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 14, 13, 2, 1, 3, 5, 4, 7, 6, 8, 9, 12, 11, 10]
C4;PMX;50;0.8;0.05;1019.0;1379.0;1125.85;1118.0;82.2392370177591;[5, 3, 2, 1, 0, 14, 12, 11, 20, 25, 22, 23, 24, 21, 16, 17, 19, 18, 15, 10, 13, 9, 8, 7, 6, 4]
C5;OX;50;0.9;0.01;937.0;1194.0;1065.35;1077.0;66.80078395379881;[25, 21, 20, 16, 17, 19, 18, 15, 10, 11, 12, 14, 13, 9, 8, 7, 6, 4, 5, 3, 2, 1, 0, 24, 23, 22]
C6;PMX;50;0.9;0.01;1012.0;1358.0;1129.85;1119.0;80.86979463440306;[19, 17, 16, 20, 21, 25, 22, 23, 24, 11, 12, 14, 0, 1, 3, 5, 4, 6, 7, 8, 2, 13, 9, 10, 15, 18]
C7;OX;50;0.9;0.05;1020.0;1324.0;1210.35;1221.0;77.72574930654035;[16, 20, 21, 25, 22, 23, 24, 11, 12, 10, 9, 8, 2, 1, 0, 14, 13, 5, 3, 4, 6, 7, 15, 18, 19, 17]
C8;PMX;50;0.9;0.05;1000.0;1270.0;1119.35;1116.0;60.71961011593848;[17, 16, 20, 21, 25, 22, 23, 24, 11, 10, 12, 14, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 15, 18, 19]
C9;OX;100;0.8;0.01;961.0;1143.0;1007.9;997.5;44.50535154101666;[12, 10, 9, 13, 14, 2, 1, 3, 5, 4, 6, 7, 8, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 11]
C10;PMX;100;0.8;0.01;1000.0;1229.0;1136.5;1135.5;52.246883563570215;[1, 0, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 9, 13, 3, 5, 4, 6, 7, 8, 10, 12, 11, 14, 2]
C11;OX;100;0.8;0.05;1076.0;1302.0;1189.9;1185.5;65.7082066491898;[4, 3, 1, 0, 14, 2, 9, 13, 12, 10, 11, 20, 21, 24, 23, 22, 25, 17, 16, 15, 18, 19, 8, 7, 6, 5]
C12;PMX;100;0.8;0.05;980.0;1186.0;1068.25;1067.0;65.0836506270766;[21, 25, 22, 23, 24, 0, 1, 2, 14, 13, 3, 5, 4, 6, 7, 8, 9, 10, 12, 11, 15, 18, 19, 17, 16, 20]
C13;OX;100;0.9;0.01;937.0;1091.0;1013.5;1013.5;44.559245009195045;[14, 13, 9, 8, 7, 6, 4, 5, 3, 2, 1, 0, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 10, 11, 12]
C14;PMX;100;0.9;0.01;999.0;1275.0;1121.2;1121.5;64.75020829066274;[10, 11, 12, 13, 14, 0, 1, 2, 3, 5, 4, 6, 7, 8, 9, 15, 18, 19, 17, 25, 22, 23, 24, 21, 20, 16]
C15;OX;100;0.9;0.05;1114.0;1379.0;1251.0;1235.5;59.54564812416031;[7, 6, 9, 12, 11, 15, 8, 13, 14, 2, 10, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 3, 5, 4]
C16;PMX;100;0.9;0.05;987.0;1216.0;1070.1;1064.0;59.41725781551846;[15, 9, 8, 7, 6, 4, 5, 3, 1, 0, 2, 14, 13, 10, 12, 11, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18]
