ID;Operador;Pop;TX_C;TX_M;Melhor;Pior;Média;Mediana;Desvio Padrão;Vetor da Rota (Melhor)
C1;OX;50;0.8;0.01;42153.0;53500.0;47352.15;47744.0;3457.811359424979;[31, 24, 13, 12, 20, 46, 11, 8, 37, 45, 35, 17, 6, 27, 29, 5, 18, 26, 42, 16, 36, 43, 30, 7, 0, 15, 21, 2, 10, 39, 14, 32, 19, 22, 40, 33, 4, 47, 23, 44, 34, 9, 3, 25, 1, 28, 41, 38]
C2;PMX;50;0.8;0.01;47629.0;61589.0;54768.55;54932.5;3666.041885007805;[41, 4, 24, 12, 13, 28, 1, 9, 34, 44, 23, 47, 38, 31, 20, 46, 10, 19, 29, 42, 26, 16, 18, 5, 36, 27, 6, 35, 39, 21, 15, 40, 2, 11, 32, 45, 17, 43, 8, 0, 7, 37, 30, 14, 22, 33, 3, 25]
C3;OX;50;0.8;0.05;68116.0;85271.0;75532.85;75878.5;4711.982522474512;[35, 26, 6, 43, 32, 33, 27, 18, 5, 37, 13, 12, 11, 10, 20, 21, 2, 24, 38, 31, 47, 41, 34, 9, 25, 3, 4, 1, 28, 44, 23, 40, 15, 7, 0, 39, 8, 22, 46, 45, 19, 29, 42, 16, 36, 30, 17, 14]
C4;PMX;50;0.8;0.05;63474.0;75751.0;70563.7;70775.0;3867.5883700311233;[34, 44, 23, 47, 28, 1, 41, 3, 25, 38, 31, 12, 7, 8, 17, 5, 26, 18, 27, 29, 32, 43, 35, 2, 6, 36, 16, 42, 21, 0, 37, 30, 45, 39, 14, 13, 4, 20, 19, 11, 46, 10, 22, 24, 33, 15, 40, 9]
C5;OX;50;0.9;0.01;41150.0;59061.0;47424.95;47071.0;4191.881168903828;[29, 19, 22, 33, 40, 15, 2, 13, 4, 28, 1, 3, 25, 9, 44, 34, 23, 41, 47, 31, 38, 24, 12, 20, 46, 10, 14, 43, 35, 6, 17, 45, 32, 11, 39, 21, 0, 7, 8, 37, 30, 27, 5, 36, 18, 16, 42, 26]
C6;PMX;50;0.9;0.01;46365.0;59021.0;52344.35;52222.0;3470.0007322159095;[45, 30, 43, 17, 20, 31, 23, 44, 34, 3, 25, 9, 41, 28, 1, 40, 15, 21, 8, 11, 10, 22, 33, 2, 14, 39, 0, 7, 37, 16, 42, 26, 18, 36, 5, 29, 27, 6, 35, 19, 13, 24, 4, 47, 38, 12, 46, 32]
C7;OX;50;0.9;0.05;71656.0;86350.0;79188.4;78473.0;3953.8505469185884;[3, 47, 40, 45, 32, 43, 5, 27, 6, 29, 11, 30, 22, 20, 38, 18, 16, 42, 26, 35, 36, 17, 37, 14, 39, 8, 7, 21, 0, 15, 10, 19, 28, 33, 13, 4, 41, 44, 23, 24, 31, 46, 12, 2, 1, 34, 9, 25]
C8;PMX;50;0.9;0.05;63209.0;81239.0;71408.15;71664.5;4377.025453252591;[15, 40, 2, 33, 47, 46, 31, 23, 1, 25, 3, 44, 34, 9, 41, 28, 24, 12, 4, 38, 13, 22, 20, 11, 10, 39, 19, 45, 21, 0, 32, 27, 30, 14, 35, 42, 5, 26, 18, 16, 17, 29, 7, 8, 43, 6, 36, 37]
C9;OX;100;0.8;0.01;36809.0;47611.0;42572.6;42709.5;2785.3809604319554;[35, 6, 17, 43, 45, 39, 14, 32, 11, 19, 46, 20, 31, 38, 23, 25, 3, 34, 44, 9, 41, 1, 28, 4, 47, 13, 24, 12, 10, 22, 2, 33, 40, 15, 21, 0, 7, 8, 37, 30, 27, 26, 5, 36, 18, 16, 42, 29]
C10;PMX;100;0.8;0.01;44200.0;59280.0;50646.2;49847.5;4344.8293116494715;[43, 17, 6, 27, 29, 5, 36, 18, 16, 26, 7, 0, 22, 10, 19, 32, 11, 14, 39, 2, 21, 15, 40, 1, 41, 9, 25, 3, 44, 34, 23, 31, 20, 38, 47, 4, 28, 33, 13, 24, 12, 46, 42, 35, 45, 8, 37, 30]
